Removed Member From Class: ClassName=ADC2 Member=R19B
Added Pin To Net: NetName=0V_(ISO) Pin=C22-1
Added Member To Class: ClassName=Microcontroller Member=Component R7 500R
Added Member To Class: ClassName=Microcontroller Member=Component R9 5.1k
Added Member To Class: ClassName=Microcontroller Member=Component R10 10k
Added Member To Class: ClassName=ADC2 Member=Component R12B (R12) 100K
Added Member To Class: ClassName=HSD1 Member=Component R13A (R13) 10k
Added Member To Class: ClassName=HSD2 Member=Component R13B (R13) 10k
Added Member To Class: ClassName=HSD3 Member=Component R13C (R13) 10k
Added Member To Class: ClassName=HSD4 Member=Component R13D (R13) 10k
Added Member To Class: ClassName=HSD1 Member=Component R14A (R14) 10k
Added Member To Class: ClassName=HSD2 Member=Component R14B (R14) 10k
Added Member To Class: ClassName=HSD3 Member=Component R14C (R14) 10k
Added Member To Class: ClassName=HSD4 Member=Component R14D (R14) 10k
Added Member To Class: ClassName=HSD1 Member=Component R15A (R15) 10k
Added Member To Class: ClassName=HSD2 Member=Component R15B (R15) 10k
Added Member To Class: ClassName=HSD3 Member=Component R15C (R15) 10k
Added Member To Class: ClassName=HSD4 Member=Component R15D (R15) 10k
Added Member To Class: ClassName=HSD1 Member=Component R16A (R16) 10k
Added Member To Class: ClassName=HSD2 Member=Component R16B (R16) 10k
Added Member To Class: ClassName=HSD3 Member=Component R16C (R16) 10k
Added Member To Class: ClassName=HSD4 Member=Component R16D (R16) 10k
Added Member To Class: ClassName=HSD1 Member=Component R17A (R17) 10k
Added Member To Class: ClassName=HSD2 Member=Component R17B (R17) 10k
Added Member To Class: ClassName=HSD3 Member=Component R17C (R17) 10k
Added Member To Class: ClassName=HSD4 Member=Component R17D (R17) 10k
Added Member To Class: ClassName=HSD1 Member=Component R18A (R18) 10k
Added Member To Class: ClassName=HSD2 Member=Component R18B (R18) 10k
Added Member To Class: ClassName=HSD3 Member=Component R18C (R18) 10k
Added Member To Class: ClassName=HSD4 Member=Component R18D (R18) 10k
Added Member To Class: ClassName=HSD1 Member=Component R20A (R20) 24k
Added Member To Class: ClassName=HSD2 Member=Component R20B (R20) 24k
Added Member To Class: ClassName=HSD3 Member=Component R20C (R20) 24k
Added Member To Class: ClassName=HSD4 Member=Component R20D (R20) 24k
